,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Crown,Crown,Crown,Fruit Size,Fruit Size,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Conspicuousness,Conspicuousness,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement
Chamaedorea elegans,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2.0,2.0,8.0,1.0,0.6,0.45,0.55,0.4,0.7,0.55,0.4,0.7
Chamaedorea ernesti-augusti,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2.0,1.5,8.0,0.5,0.25,0.28,1.25,1.0,1.5,0.9,0.8,1.0
Chamaedorea klotzschiana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,4.0,3.0,6.0,1.4,1.0,0.45,1.05,0.9,1.2,0.8,0.7,0.9
Chamaedorea lucidifrons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2.0,3.0,5.0,1.1,0.65,0.5,0.55,0.5,0.6,0.45,0.4,0.5
Chamaedorea macrospadix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,3.0,2.5,7.0,1.25,0.6,0.7,0.85,0.7,1.0,0.7,0.6,0.8
Chamaedorea metallica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3.0,1.5,16.0,0.36,0.32,0.06,1.1,1.0,1.2,0.85,0.8,0.9
Chamaedorea oblongata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3.0,2.5,8.0,0.99,0.6,0.44,1.1,0.8,1.4,0.7,0.6,0.8
Chamaedorea oreophila,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,3.0,2.0,13.0,1.15,0.8,0.4,0.95,0.6,1.3,0.6,0.4,0.8
Chamaedorea pauciflora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2.0,2.0,9.0,1.25,0.64,0.66,1.35,1.0,1.5,0.65,0.5,0.8
Chamaedorea pinnatifrons,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4.5,3.0,10.0,1.5,0.75,0.8,1.25,0.5,2.0,0.45,0.4,1.8
Chamaedorea pochutlensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,5.0,3.0,5.0,1.3,1.0,0.33,1.35,1.2,1.5,0.9,0.8,1.0
Chamaedorea pumila,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.5,2.0,15.0,0.4,0.15,0.28,0.8,0.6,1.0,0.8,0.6,1.0
Chamaedorea pygmaea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.75,2.0,8.0,0.41,0.16,0.28,0.7,0.6,0.8,0.7,0.6,0.8
Chamaedorea rojasiana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1.0,1.0,6.0,0.23,0.18,0.07,0.8,0.7,0.9,0.9,0.7,1.1
Chamaedorea sartorii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,4.0,1.6,6.0,0.95,0.5,0.5,1.05,0.9,1.2,0.75,0.7,0.8
Chamaedorea simplex,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1.0,1.2,6.0,0.19,0.05,0.16,1.05,0.9,1.2,0.825,0.75,0.9
Chamaedorea tepejilote,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,7.0,10.0,7.0,2.0,1.4,0.65,1.5,1.0,2.0,0.75,0.7,0.8
Chamaedorea tuerckheimii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1.0,0.7,12.0,0.25,0.2,0.07,1.0,0.8,1.2,0.75,0.6,0.9
Chamaedorea warscewiczii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,4.0,3.5,8.0,1.0,0.5,0.55,1.3,1.2,1.3,0.7,0.9,1.0
Cocos nucifera,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,35.0,40.0,20.0,8.3,7.5,1.35,22.5,10.0,35.0,14.0,8.0,20.0
Cryosophila stauracantha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,10.0,12.0,26.0,1.5,1.2,1.35,1.25,1.1,1.4,1.25,1.1,1.4
Cryosophila warscewiczii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,12.0,15.0,27.0,1.5,2.0,2.6,2.3,2.0,2.6,2.05,1.8,2.3
Cyphokentia cerifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,20.0,18.0,10.0,2.02,1.8,0.24,1.2,1.1,1.3,1.3,1.2,1.4
Cyphophoenix elegans,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,15.0,14.0,10.0,2.5,2.0,0.55,1.95,1.9,2.0,1.35,1.3,1.4
Cyrtostachys elegans,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,20.0,30.0,9.0,3.5,3.5,0.1,1.45,1.2,1.7,0.55,0.5,0.6
Cyrtostachys glauca,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,21.6,15.0,8.0,4.1,4.1,0.8,1.0,0.9,1.2,0.5,0.4,0.6
Cyrtostachys loriae,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,30.0,30.0,14.0,4.8,4.8,1.15,1.2,0.8,1.6,0.45,0.4,0.5
Cyrtostachys renda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,20.0,10.0,7.0,1.8,1.8,0.5,0.9,0.7,1.0,0.5,0.4,0.7
Daemonorops scapigera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3.5,4.0,15.0,2.0,2.0,0.33,2.6,2.2,3.0,2.45,1.9,3.0
Desmoncus giganteus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,50.0,5.0,50.0,2.47,2.15,0.35,3.62,2.15,4.26,1.66,1.27,1.83
Desmoncus mitis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,10.0,1.1,30.0,0.94,0.8,0.16,1.23,0.89,1.57,0.7,0.55,1.09
Desmoncus orthacanthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,20.0,3.0,50.0,2.25,2.07,0.2,1.49,1.14,1.84,1.42,0.84,2.0
Desmoncus polyacanthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,37.0,3.5,25.0,1.91,1.73,0.2,1.694362745,1.12,2.35,1.193598039,0.79,1.79
Desmoncus stans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2.5,1.0,7.0,0.405,0.28,0.15,1.33,1.28,1.37,1.07875,0.95,1.11
Dictyocaryum fuscum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,22.0,20.0,6.0,2.7,2.5,0.22,3.25,3.0,3.5,2.5,2.0,3.0
Dictyocaryum ptarianum,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,20.0,20.0,5.0,3.5,3.0,0.55,3.25,3.0,3.5,2.75,2.0,3.5
Dransfieldia micrantha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,10.0,5.0,8.0,2.0,1.8,0.81,1.545,1.5,1.59,0.85,0.76,0.95
Drymophloeus litigiosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,5.0,3.0,9.0,1.6,1.6,0.48,1.7,1.36,2.34,1.05,0.58,1.3
Drymophloeus oliviformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,4.0,7.0,7.0,1.4,1.1,0.61,1.7,1.06,2.35,0.8,0.55,1.19
Dypsis acuminum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6.0,8.0,6.0,1.5,1.34,0.18,0.95,0.9,1.0,0.65,0.6,0.7
Dypsis ambilaensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3.0,0.8,8.0,0.4,0.33,0.09,1.25,1.0,1.5,0.475,0.45,0.5
Dypsis andapae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1.2,1.2,10.0,0.48,0.22,0.29,1.2,1.1,1.3,0.725,0.7,0.75
Dypsis andrianatonga,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,9.0,2.5,5.0,1.6,1.28,0.35,1.45,0.9,2.0,1.1,0.7,1.5
Dypsis antanambensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4.0,12.0,12.0,3.16,2.5,0.71,2.0,1.5,2.5,2.0,1.2,1.8
Dypsis arenarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.0,6.5,10.0,2.42,1.7,0.77,1.1,1.0,1.2,1.0,0.8,1.2
Dypsis baronii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,8.0,12.0,8.0,1.73,1.2,0.58,1.5,1.0,2.0,1.2,0.8,1.6
Dypsis bejofo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,25.0,40.0,10.0,6.34,6.0,0.39,2.5,2.0,3.0,2.15,1.8,2.5
Dypsis cabadae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,10.0,9.0,10.0,2.03,1.7,0.38,1.05,0.9,1.2,0.5,0.4,0.6
Dypsis catatiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1.0,0.9,10.0,0.32,0.22,0.12,1.25,1.0,1.5,0.725,0.5,0.95
Dypsis caudata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3.0,1.5,11.0,0.66,0.46,0.22,0.95,0.8,1.1,0.425,0.35,0.5
Dypsis concinna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,2.0,0.8,12.0,0.38,0.29,0.11,1.1,0.6,1.6,0.525,0.35,0.7
Dypsis confusa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,7.0,4.0,8.0,1.18,0.86,0.35,0.8,0.6,1.0,0.4,0.3,0.5
Dypsis coriacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.0,1.0,9.0,0.41,0.29,0.14,1.3,1.1,1.5,0.675,0.45,0.9
Dypsis corniculata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6.0,2.0,10.0,0.475,0.4,0.1,1.1,1.0,1.2,0.475,0.4,0.55
Dypsis coursii,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,8.0,18.0,4.0,1.27,1.0,0.3,2.75,2.0,3.5,2.0,1.5,2.5
Dypsis decaryi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,7.0,40.0,24.0,3.5,3.0,0.55,1.85,1.5,2.2,1.6,1.2,2.0
Dypsis decipiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,20.0,40.0,12.0,2.45,2.2,0.28,2.35,2.2,2.5,2.1,2.0,2.2
Dypsis digitata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.4,1.5,13.0,0.41,0.11,0.33,1.2,1.1,1.3,0.65,0.5,0.8
Dypsis dransfieldii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,8.0,8.0,12.0,2.0,1.7,0.33,1.75,1.5,2.0,1.3,1.2,1.4
Dypsis glabrescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.0,1.0,6.0,0.31,0.19,0.14,1.65,1.3,2.0,1.05,1.0,1.1
Dypsis heteromorpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12.0,12.0,10.0,1.85,1.5,0.4,2.0,1.7,2.3,1.8,1.4,2.2
Dypsis heterophylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,2.5,0.8,9.0,0.4,0.28,0.14,0.565,0.5,0.63,0.45,0.4,0.5
Dypsis hiarakae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,6.0,2.5,9.0,0.84,0.67,0.19,0.95,0.9,1.0,0.475,0.45,0.5
Dypsis jumelleana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,4.0,1.5,8.0,0.71,0.56,0.17,1.05,0.9,1.2,1.05,0.9,1.2
Dypsis lastelliana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,15.0,25.0,15.0,3.9,3.8,0.12,2.1,1.8,2.4,1.5,1.2,1.7
Dypsis linearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,7.0,4.0,8.0,0.85,0.7,0.17,0.75,0.6,0.9,0.5,0.4,0.6
Dypsis lutescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,7.0,12.0,11.0,2.27,1.9,0.42,1.5,1.2,1.8,0.85,0.7,1.0
Dypsis malcomberi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,25.0,35.0,8.0,4.5,4.0,0.55,0.9,0.8,1.0,0.55,0.4,0.7
Dypsis mananjarensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,25.0,29.0,10.0,3.62,3.5,0.14,0.5,0.4,0.6,0.5,0.4,0.6
Dypsis marojejyi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,6.0,1.0,20.0,4.1,1.4,0.12,2.35,2.2,2.5,1.6,1.4,1.8
Dypsis mcdonaldiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,5.0,3.0,10.0,1.0,0.9,0.12,0.75,0.6,0.9,0.35,0.3,0.4
Dypsis minuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.5,0.5,8.0,0.33,0.06,0.3,1.45,1.4,1.5,0.4,0.3,0.5
Dypsis nodifera,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,10.0,6.0,12.0,1.03,0.75,0.31,0.9,0.8,1.0,0.65,0.5,0.8
Dypsis ovobontsira,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,10.0,13.0,6.0,3.07,2.6,0.52,1.6,1.5,1.7,1.4,1.3,1.5
Dypsis perrieri,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,15.0,30.0,20.0,6.5,5.0,1.55,1.7,1.5,1.9,1.4,1.2,1.6
Dypsis pilulifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,30.0,40.0,9.0,5.4,5.0,0.45,0.6,0.5,0.7,0.6,0.5,0.7
Dypsis prestoniana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,12.0,40.0,10.0,4.57,4.4,0.19,1.35,1.2,1.5,0.7,0.6,0.8
