Unnamed: 0,Species,Main Trait,SIM,Dataset,Sentence,Result,GT Sub Traits
304,Normanbya normanbyi,Measurement,Bert,Palm,"The green inflorescence comes from below the crown-shaft,.and gives rise to 5cm long pear-shaped, light-brown coloured fruit.",Can infer correct Quality,['Minimum Fruit Length in Centimeters: 3.5']
305,Syagrus botryophora,Measurement,Jacc,Palm,Each leaf can be quite heavy and the petiole bases are fibrous and thick.,Can infer correct Entity,['Maximum Leaf Number: 19.0']
306,Euterpe oleracea,Measurement,Jacc,Palm,"The purplish-black fruit is about 15 - 25mm in diameter, and is borne in huge clusters of up to 1,000 fruits.",Can infer correct Value,['Minimum Fruit Width in Centimeters: 1.0']
307,Linospadix minor,Measurement,Jacc,Palm,The leaf petiole is 4-51cm long with almost vertical angle.,Can infer correct Entity,['Maximum Leaf Number: 12.0']
308,Ravenea louvelii,Fruit Size,Jacc,Palm,"Dioecious pinnate-leaved palms of Madagascar and the Comores, distinguishable by the combination of incomplete prophyll, staminodes bearing rudimentary anthers and the fruit with subapical or apical stigmatic remains.",Can infer correct Entity,['small']
309,Cyrtostachys glauca,Crown,Jacc,Palm,"Slender to moderate, clustering tree palm to 5.5 to 15 m, with up to c. 3 adult stems and up to 4 or more suckers at base, crown spherical in outline.",Can infer correct Value,['canopy']
310,Syagrus picrophylla,Fruit Size,Jacc,Palm,"They range in size from 1.2 to 1.9 cm in length, and 0.7 to 4.5 cm in diameter.",Can infer correct Quality,['small']
311,Reinhardtia koschnyana,Measurement,Bert,Palm,"The seed is ovoid or ellipsoidal, is basal or side of.",None of the above,['Minimum Fruit Length in Centimeters: 1.1']
312,Archontophoenix maxima,Measurement,Jacc,Palm,"Peduncle 16 x 6.8-12 x 2.8-4 cm, curved downward when fruit mature and with prominent lateral 'horns' in the lower portion.",Can infer correct Entity,['Minimum Fruit Length in Centimeters: 1.1']
313,Pinanga coronata,Fruit Colour Description,Jacc,Palm,"Initially, these are yellow, then turn red and finally black when ripe.",Can infer correct Value,"['black', 'pink', 'red', 'yellow']"
314,Rhapis subtilis,Measurement,Bert,Palm,Leaves are very dark green.,Can infer correct Entity,['Maximum Leaf Number: 18.0']
315,Archontophoenix alexandrae,Measurement,Bert,Palm,The fruits are ovoid to globose with a persistent calyx.,Can infer correct Entity,['Maximum Fruit Width in Centimeters: 1.1']
316,Roystonea borinquena,Measurement,Jacc,Palm,The fruit is a drupe that is light brown at maturity.,Can infer correct Entity,['Maximum Fruit Width in Centimeters: 1.3']
320,Normanbya normanbyi,Measurement,Bert,Palm,"The green inflorescence comes from below the crownshaft, and gives rise to 5 cm long pear-shaped, light-brown coloured fruit.",Can infer correct Quality,['Minimum Fruit Length in Centimeters: 3.5']
321,Syagrus botryophora,Measurement,Jacc,Palm,"The stems are normally spineless, but some species have spiny leaf sheaths or spines.",Can infer correct Entity,['Maximum Leaf Number: 19.0']
322,Euterpe oleracea,Measurement,Jacc,Palm,"Fruits black, globose, 1-2 cm in diameter.",Can infer correct Value,['Minimum Fruit Width in Centimeters: 1.0']
323,Syagrus campestris,Measurement,Bert,Palm,"They have simple or pinnately compound leaves and yellow, orange, red or purple-black fruit.",Can infer correct Entity,['Maximum Fruit Width in Centimeters: 3.0']
324,Ravenea louvelii,Fruit Size,Jacc,Palm,"Fruit 1 to 3 seeded globose to ellipsoid when 1-seeded, slightly lobed when more than 1 seed develops, yellow, orange or red, more rarely brown, purple or black, stigmatic remains subbasal, lateral, or subapical, epicarp smooth or minutely pebbled, mesocarp fleshy, endocarp thin.",Can infer correct Entity,['small']
325,Reinhardtia koschnyana,Measurement,Bert,Palm,"The pollen is ellipsoidal or flattened triangular, and from mild to significant asymmetry.",None of the above,['Minimum Fruit Length in Centimeters: 1.1']
326,Pinanga coronata,Fruit Colour Description,Jacc,Palm,The new emerging leaf has a colour that can vary from red to pink.,None of the above,"['black', 'pink', 'red', 'yellow']"
327,Rhapis subtilis,Measurement,Bert,Palm,Rhapis subtilis has.canes that are less than 15mm in diameter and smallish.leaflets that are thin in section.,Can infer correct Entity,['Maximum Leaf Number: 18.0']
328,Archontophoenix alexandrae,Measurement,Bert,Palm,"The red, ovoid fruits are 1-1.5 cm long and have remnants of the stigma at the apex.",Can infer correct Entity,['Maximum Fruit Width in Centimeters: 1.1']
329,Archontophoenix alexandrae,Measurement,Bert,Palm,"The red, ovoid fruits are 1-1.5 cm long and have remnants of the stigma at the apex.",Can infer correct Value,['Maximum Fruit Width in Centimeters: 1.1']
330,Archontophoenix maxima,Measurement,Bert,Palm,"The red, ovoid fruits are 1-1.5 cm long and have remnants of the stigma at the apex.",Can infer correct Entity,['Minimum Fruit Length in Centimeters: 1.1']
331,Archontophoenix maxima,Measurement,Bert,Palm,"The red, ovoid fruits are 1-1.5 cm long and have remnants of the stigma at the apex.",Can infer correct Value,['Minimum Fruit Length in Centimeters: 1.1']
332,Roystonea borinquena,Measurement,Jacc,Palm,Panicles of cream flowers with purplish green anthers bloom in summer.,None of the above,['Maximum Fruit Width in Centimeters: 1.3']
336,Normanbya normanbyi,Measurement,Bert,Palm,"Ripe fruits measure between 35 to 50 mm long and 25 to 40 mm in width, and are pink to reddish-brown in colour.",Can infer correct Value,['Minimum Fruit Length in Centimeters: 3.5']
337,Syagrus botryophora,Measurement,Jacc,Palm,"The transition from the leaf sheath to the petiole can be gradual and difficult to identify, but in species where they can be distinguished, leaf sheaths are 2.5 to 180 cm long and the petioles are 0 to 30 cm.",Can infer correct Entity,['Maximum Leaf Number: 19.0']
338,Euterpe oleracea,Measurement,Jacc,Palm,"The fruit is small, but is produced in great quantity upon branched spadices, which are thrown out horizontally beneath the crown of leaves.",Can infer correct Entity,['Maximum Fruit Length in Centimeters: 2.0']
339,Linospadix minor,Measurement,Jacc,Palm,"Leaf Description: pinnate, flat, terminal leaflets wider than the rest, light green, 3' long, very upright in orientation.",Can infer correct Entity,['Maximum Leaf Number: 12.0']
340,Syagrus campestris,Measurement,Bert,Palm,"It grows to 4-10m tall, with 8-20 leaves to 2m long.",None of the above,['Maximum Fruit Width in Centimeters: 3.0']
341,Reinhardtia koschnyana,Measurement,Bert,Palm,"The leaves are pinnate, bifid or completely divided.",None of the above,['Minimum Fruit Length in Centimeters: 1.1']
342,Pinanga coronata,Fruit Colour Description,Jacc,Palm,"They are of pale green colour when adult, with the rachis of colour varying from green to bright yellow.",None of the above,"['black', 'pink', 'red', 'yellow']"
343,Elaeis oleifera,Measurement,Jacc,Palm,"The palm fruit is reddish, about the size of a large plum, and grows in large bunches.",Can infer correct Quality,['Average Fruit Width in Centimeters: 1.9']
344,Syagrus cardenasii,Fruit Shape,Jacc,Palm,"Fruit 3 to 3.2, 3 cm, ovoid, orange.",Can infer correct Value,['globose']
345,Actinokentia divaricata,Fruit Shape,Bert,Palm,"Seed attached by an elongate hilum, raphe branches anastomosing, endosperm homogeneous, embryo basal.",None of the above,['globose']
346,Hydriastele hombronii,Fruit Size,Jacc,Palm,"Fruit 14-17 X 6-6.5 mm, ripening dull red, seed with homogeneous endosperm.",Can infer correct Quality,['small']
347,Syagrus cocoides,Measurement,Jacc,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",Can infer correct Entity,['Minimum Fruit Length in Centimeters: 3.5']
349,Syagrus cocoides,Measurement,Jacc,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",None of the above,['Minimum Fruit Length in Centimeters: 3.5']
351,Syagrus cocoides,Measurement,Jacc,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",Can infer correct Value,['Minimum Fruit Length in Centimeters: 3.5']
352,Syagrus smithii,Fruit Colour Description,Jacc,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",Can infer correct Entity,['yellow']
354,Syagrus smithii,Fruit Colour Description,Jacc,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",None of the above,['yellow']
356,Syagrus smithii,Fruit Colour Description,Jacc,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",Can infer correct Value,['yellow']
357,Syagrus cardenasii,Fruit Shape,Jacc,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",Can infer correct Entity,['globose']
359,Syagrus cardenasii,Fruit Shape,Jacc,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",None of the above,['globose']
361,Syagrus cardenasii,Fruit Shape,Jacc,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",Can infer correct Value,['globose']
362,Syagrus botryophora,Measurement,Bert,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",Can infer correct Entity,['Maximum Fruit Width in Centimeters: 3.0']
364,Syagrus botryophora,Measurement,Bert,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",None of the above,['Maximum Fruit Width in Centimeters: 3.0']
366,Syagrus botryophora,Measurement,Bert,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",Can infer correct Value,['Maximum Fruit Width in Centimeters: 3.0']
367,Syagrus sancona,Measurement,Jacc,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",Can infer correct Entity,['Maximum Stem Height in Meters: 30.0']
369,Syagrus sancona,Measurement,Jacc,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",None of the above,['Maximum Stem Height in Meters: 30.0']
371,Syagrus sancona,Measurement,Jacc,Palm,"The fruit are drupes, which vary in colour from green to orange to brown.",Can infer correct Value,['Maximum Stem Height in Meters: 30.0']
372,Euterpe oleracea,Measurement,Bert,Palm,"The fruits are globose, about 1.5 cm in diameter, fibrous, with maturation from green to purple-black, with a single seed.",Can infer correct Value,['Minimum Fruit Width in Centimeters: 1.0']
373,Syagrus sancona,Measurement,Jacc,Palm,"Stem solitary, 10-30 m tall and 20-35 cm in diameter.",Can infer correct Value,['Maximum Stem Height in Meters: 30.0']
374,Syagrus deflexa,Crown,Jacc,Palm,Geonoma is a genus of small to medium-sized palms native to the forest understorey of tropical Central and South America.,None of the above,['understorey']
375,Cocos nucifera,Fruit Shape,Jacc,Palm,Exocarp in immature fruit is green.,Can infer correct Entity,['globose']
376,Dypsis ovobontsira,Measurement,Jacc,Palm,At least in leaf length.,Can infer correct Quality,['Maximum Leaf Blade Length in Meters: 3.07']
377,Syagrus botryophora,Measurement,Bert,Palm,"The fruit are oval, greenish-yellow, 6–9 cm long.",Can infer correct Entity,['Maximum Fruit Width in Centimeters: 3.0']
378,Syagrus botryophora,Measurement,Bert,Palm,"The fruit are oval, greenish-yellow, 6–9 cm long.",Can infer correct Value,['Maximum Fruit Width in Centimeters: 3.0']
379,Syagrus smithii,Fruit Colour Description,Jacc,Palm,"The fruit are oval, greenish-yellow, 6–9 cm long.",Can infer correct Entity,['yellow']
380,Syagrus smithii,Fruit Colour Description,Jacc,Palm,"The fruit are oval, greenish-yellow, 6–9 cm long.",Can infer correct Value,['yellow']
381,Nypa fruticans,Fruit Size,Jacc,Palm,Fruit - PubMed.,Can infer correct Entity,['large']
382,Raphia farinifera,Measurement,Jacc,Palm,"The fruit is oblong to ovoid, 5 to 10 cm in length, with imbricate, glossy, golden-brown scales.",Can infer correct Value,['Maximum Fruit Length in Centimeters: 10.0']
383,Chamaedorea elegans,Fruit Colour Description,Jacc,Palm,Fruit shape: round.,Can infer correct Entity,['black']
384,Pritchardia glabrata,Measurement,Jacc,Palm,They produce round black fruit less than 1 inch in diameter.,Can infer correct Quality,['Minimum Fruit Width in Centimeters: 2.0']
385,Pseudophoenix vinifera,Fruit Colour Description,Jacc,Palm,"Fruit 17.6 to 23.7 mm long, 16.2 to 20.2 mm diam.,",Can infer correct Entity,['reddish']
386,Geonoma interrupta,Measurement,Bert,Palm,There are 3-41 curved leaflets on each side.,None of the above,['Maximum Leaf Number: 24.0']
387,Elaeis oleifera,Measurement,Jacc,Palm,Fruit base from the non-shedding fruit.,Can infer correct Entity,['Average Fruit Width in Centimeters: 1.9']
388,Actinokentia divaricata,Fruit Shape,Bert,Palm,"Fruit: Fruit ellipsoid 2-3 x 0.8 - 1 to 4 cm, red to dark purple when ripe.",Can infer correct Value,['globose']
389,Hydriastele hombronii,Fruit Size,Jacc,Palm,"The fruit may be ellipsoidal or spherical and colored yellow, orange, red, purple, or black when ripe, each with a single seed.",Can infer correct Entity,['small']
390,Linospadix palmerianus,Measurement,Bert,Palm,"Fruit cylindrical, about 10-18 x 5-10 mm.",Can infer correct Value,['Maximum Fruit Length in Centimeters: 1.5']
391,Syagrus cocoides,Measurement,Jacc,Palm,Dichotomous branching in Flagellaria indica.,None of the above,['Minimum Fruit Length in Centimeters: 3.5']
392,Euterpe oleracea,Measurement,Bert,Palm,"Fruits black, globose, 1-2 cm in diameter.",Can infer correct Value,['Minimum Fruit Width in Centimeters: 1.0']
393,Syagrus sancona,Measurement,Jacc,Palm,"Stem solitary, 10-20 m tall and 20-35 cm in diameter.",Can infer correct Value,['Maximum Stem Height in Meters: 30.0']
394,Syagrus deflexa,Crown,Jacc,Palm,"It is a small, fine leaf Palm, with many slender, up to 3 m tall stems, each carrying a bright crown of pinnate leaves.",Can infer correct Value,['understorey']
395,Cocos nucifera,Fruit Shape,Jacc,Palm,"Three color forms - MGD, MRD and MYD - set first fruit at about waist-heig.",Can infer correct Entity,['globose']
396,Dypsis ovobontsira,Measurement,Jacc,Palm,"Leaf, root and floral.",Can infer correct Entity,['Maximum Leaf Blade Length in Meters: 3.07']
397,Nypa fruticans,Fruit Size,Jacc,Palm,A globular fruit cluster of the nipa palm.,Can infer correct Entity,['large']
398,Syagrus smithii,Fruit Colour Description,Jacc,Palm,Petal length in mature fruit cupule.,None of the above,['yellow']
399,Raphia farinifera,Measurement,Jacc,Palm,"Flowers unisexual in huge, branched inflorescences.",None of the above,['Maximum Fruit Length in Centimeters: 10.0']
400,Chamaedorea elegans,Fruit Colour Description,Jacc,Palm,Fruit cover: fleshy.,Can infer correct Entity,['black']
401,Pritchardia glabrata,Measurement,Jacc,Palm,The mature fruit are 1/2 inch by 3/4 inch ellipsoid to ovoid in shape.,Can infer correct Quality,['Maximum Fruit Width in Centimeters: 2.5']
402,Pseudophoenix vinifera,Fruit Colour Description,Jacc,Palm,"Fruit 17.6 to 23.7 mm long, 16.2 to 20.2 mm in diam.,",Can infer correct Entity,['reddish']
403,Geonoma interrupta,Measurement,Bert,Palm,There are 6-23 leaves and the blades are 2 m long.,Can infer correct Value,['Maximum Leaf Number: 24.0']
404,Elaeis oleifera,Measurement,Jacc,Palm,Base of fruit of normal shedding fruit.,Can infer correct Entity,['Average Fruit Width in Centimeters: 1.9']
405,Syagrus cardenasii,Fruit Shape,Jacc,Palm,"Graceful undergrowth palms from eastern Brazil with distinctive slender discolorous leaflets and fruit in which the pericarp splits longitudinally when ripe, exposing the endocarp.",Can infer correct Entity,['globose']
406,Actinokentia divaricata,Fruit Shape,Bert,Palm,"Fruit ellipsoidal with apical stigmatic remains, epicarp smooth, mesocarp underlain by a shell of short, pale sclereids, elliptic in outline at surface, the sclereid shell over parenchyma with flat, anastomosing longitudinal fibres adherent to the endocarp, tannin cells lacking, or few and interspersed among the fibres, endocarp thin, fragile, not operculate.",Can infer correct Value,['globose']
407,Linospadix palmerianus,Measurement,Bert,Palm,Inflorescence to 60 cm long.,None of the above,['Maximum Fruit Length in Centimeters: 1.5']
408,Syagrus cocoides,Measurement,Jacc,Palm,"The pistillate flowers are cream in color, pyramidal, asymmetrical.and trimerous, 4.92 to 7.24 mm in length and 4.44 to 6.09 mm in width.",None of the above,['Minimum Fruit Length in Centimeters: 3.5']
409,Euterpe oleracea,Measurement,Bert,Palm,"The purplish-black fruit is about 15 - 25mm in diameter, and is borne in huge clusters of up to 1,000 fruits.",Can infer correct Value,['Minimum Fruit Width in Centimeters: 1.0']
410,Syagrus sancona,Measurement,Jacc,Palm,"Much shorter, but thicker in the trunk.",None of the above,['Maximum Stem Height in Meters: 30.0']
411,Cocos nucifera,Fruit Shape,Jacc,Palm,"The fruit is a drupe comprised of three layers: the exocarp, mesocarp, and the endocarp.",Can infer correct Entity,['globose']
412,Dypsis ovobontsira,Measurement,Jacc,Palm,"Germination adjacent-ligular, seedling leaf bifid.",None of the above,['Maximum Leaf Blade Length in Meters: 3.07']
413,Syagrus botryophora,Measurement,Bert,Palm,The fruits are an intense yellow when mature and fall to the.ground when ready for germination.,Can infer correct Entity,['Maximum Fruit Width in Centimeters: 3.0']
414,Nypa fruticans,Fruit Size,Jacc,Palm, A globular fruit cluster of the nipa palm.,Can infer correct Entity,['large']
415,Chamaedorea elegans,Fruit Colour Description,Jacc,Palm,Fruit color: black.,Can infer correct Value,['black']
416,Pritchardia glabrata,Measurement,Jacc,Palm, The fruit are medium to small ellipsoid to obovoid and purplish black in color.,Can infer correct Entity,['Minimum Fruit Width in Centimeters: 2.0']
417,Pseudophoenix vinifera,Fruit Colour Description,Jacc,Palm,The fruit is lobed when more than one seed develops.,Can infer correct Entity,['reddish']
418,Geonoma interrupta,Measurement,Bert,Palm,There are 8-32 flowering branches.,None of the above,['Maximum Leaf Number: 24.0']
419,Elaeis oleifera,Measurement,Jacc,Palm,"Each fruit is made up of an oily, fleshy outer layer, with a single seed, also rich in oil.",Can infer correct Entity,['Average Fruit Width in Centimeters: 1.9']
420,Syagrus cardenasii,Fruit Shape,Jacc,Palm,"Seed conforming to the shape of the endocarp cavity, subbasally attached, endosperm homogeneous or ruminate, sometimes with a central cavity, embryo basal or subbasal opposite one of the endocarp pores.",None of the above,['globose']
421,Actinokentia divaricata,Fruit Shape,Bert,Palm,Pinnate.,None of the above,['globose']
422,Linospadix palmerianus,Measurement,Bert,Palm,Usually flowers and fruits as a shrub 1-2.5 m tall.,Can infer correct Entity,['Maximum Fruit Length in Centimeters: 1.5']
423,Syagrus cocoides,Measurement,Jacc,Palm,"The flowers are 6.81 to 11.44 mm in length and 2.41 to 5.24 mm in.width, and are located in the apical rachillae of significantly shorter.length.",None of the above,['Minimum Fruit Length in Centimeters: 3.5']
424,Euterpe oleracea,Measurement,Bert,Palm,"Description A slender palm, growing to 40-90ft. Fruit crops ripen twice a year with single fruit clusters numbering up to almost 1000.",Can infer correct Entity,['Minimum Fruit Width in Centimeters: 1.0']
425,Syagrus sancona,Measurement,Jacc,Palm,"The unbranched stem can be 20 - 30 cm in diameter, it is topped by a crown of 8 - 16, dark green leaves that can each be up to 3.5 metres long.",Can infer correct Entity,['Maximum Stem Height in Meters: 30.0']
426,Cocos nucifera,Fruit Shape,Jacc,Palm,"A new inflorescence is produced every month, whilst the fruit takes a year to mature.",Can infer correct Entity,['globose']
427,Dypsis ovobontsira,Measurement,Jacc,Palm,"The seed matches the description of Dypsis ovobontsira in POM, so.fingers crossed.",None of the above,['Maximum Leaf Blade Length in Meters: 3.07']
428,Syagrus botryophora,Measurement,Bert,Palm,"It grows to 4-10m tall, with 8-20 leaves to 2m long.",None of the above,['Maximum Fruit Width in Centimeters: 3.0']
429,Nypa fruticans,Fruit Size,Jacc,Palm,"Fruit is globose, nodding, up to 30 centimeters in diameter.",Can infer correct Value,['large']
430,Syagrus smithii,Fruit Colour Description,Jacc,Palm,"The fruit are edible, ovate-lanceolate, yellow-orange, 2.5-3.5 x 1.6-2.5 cm, with a reddish apex.",Can infer correct Value,['yellow']
431,Raphia farinifera,Measurement,Jacc,Palm,The fruits are ovoid and reddish-brown in color.,Can infer correct Entity,['Maximum Petiole Length in Meters: 1.55']
432,Chamaedorea elegans,Fruit Colour Description,Jacc,Palm,"Round, fleshy black fruit may occasionally appear, though rarely when grown indoors.",Can infer correct Value,['black']
433,Pritchardia glabrata,Measurement,Jacc,Palm,"Leaf, roots, floral, fruit, endocarp.",Can infer correct Entity,['Minimum Fruit Width in Centimeters: 2.0']
434,Pseudophoenix vinifera,Fruit Colour Description,Jacc,Palm,"It bears its fruit like other palms, but of a very small shape, being not unlike cherries.",Can infer correct Entity,['reddish']
435,Geonoma interrupta,Measurement,Bert,Palm,The flowering stalk is among the leaves.,None of the above,['Maximum Leaf Number: 24.0']
436,Elaeis oleifera,Measurement,Jacc,Palm,"The fruit bunch positioned just higher than the ripe bunch in the whorl had less orange-colored fruit, and was at the pre-ripe stage, with fruit more firmly attached to the fruit bunch.",Can infer correct Entity,['Average Fruit Width in Centimeters: 1.9']
437,Syagrus cardenasii,Fruit Shape,Jacc,Palm,"Fruit small to relatively large, 1 to seeded, spherical, ovoid, or ellipsoidal, variously green, brown, yellow, or reddish, sometimes beaked, the perianth segments and staminodal ring persistent and sometimes enlarging as a cupule at the fruit base, epicarp smooth or longitudinally striate, glabrous or hairy, mesocarp fleshy or dry, with abundant longitudinal fibres, endocarp thick, woody, with 3 basal or subbasal pores, sometimes beaked, sometimes with 3 longitudinal ridges, rarely with 3 irregular vertical bands of minute pores, endocarp cavity irregular or more usually circular, rarely triangular in cross-section, with 3, conspicuous, vertical lines, very rarely with a curved lateral protrusion into the seed.",Can infer correct Value,['globose']
438,Actinokentia divaricata,Fruit Shape,Bert,Palm,The showy fruits mature through yellowish to a dull purple.,Can infer correct Entity,['globose']
439,Linospadix palmerianus,Measurement,Bert,Palm,The small leaves have just a few wide leaflets.,None of the above,['Maximum Fruit Length in Centimeters: 1.5']
440,Syagrus cocoides,Measurement,Jacc,Palm,"Table 1--Measurements for length of the rachillae inserted.in the base, middle and apex of the rachis of the inflorescence,.mean, maximum and minimum, of S. inajai.",None of the above,['Minimum Fruit Length in Centimeters: 3.5']
441,Euterpe oleracea,Measurement,Bert,Palm,"Fruits ripen to a deep purple, almost black color.",Can infer correct Entity,['Minimum Fruit Width in Centimeters: 1.0']
442,Cocos nucifera,Fruit Shape,Jacc,Palm,"About 14 leaves on a tree will have fruit clusters in their axils, six or eight.",Can infer correct Entity,['globose']
443,Dypsis ovobontsira,Measurement,Jacc,Palm,It always opens up a pinkish orangey new leaf too which is a thrill.,Can infer correct Entity,['Maximum Leaf Blade Length in Meters: 3.07']
444,Syagrus botryophora,Measurement,Bert,Palm,The woody bract of the inflorescence turns purple internally.,None of the above,['Maximum Fruit Width in Centimeters: 3.0']
445,Nypa fruticans,Fruit Size,Jacc,Palm,A bunch of Nipah fruit drooping due to its weight.,Can infer correct Entity,['large']
446,Syagrus smithii,Fruit Colour Description,Jacc,Palm,"Fruit yellow, 6-8 cm long and 3-4 cm in diameter, with the seed triangular in cross-section.",Can infer correct Value,['yellow']
447,Raphia farinifera,Measurement,Jacc,Palm,"Their fronds to botanically a single leaf to are among the longest in the plant kingdom, those of R. regalis reaching a length of 25 m. The trunk of this species is",None of the above,['Maximum Petiole Length in Meters: 1.55']
448,Chamaedorea elegans,Fruit Colour Description,Jacc,Palm,Fruit length: less than.5 inch.,Can infer correct Entity,['black']
449,Pritchardia glabrata,Measurement,Jacc,Palm,Starting to show droopiness in the leaves.,None of the above,['Minimum Fruit Width in Centimeters: 2.0']
450,Pseudophoenix vinifera,Fruit Colour Description,Jacc,Palm,"Fruit 1 to 3-seeded, waxy red, globose or 2 to 3-lobed, stigmatic remains near the base or in a central depression in 3-seeded fruits, epicarp smooth, mesocarp fleshy, with raphides, lacking fibres, endocarp hard, brown, smooth.",Can infer correct Value,['reddish']
451,Bursera simaruba,Leaf glands,Jacc,Caribbean,"Leaf venation: brachidodrome, pinnate.",Can infer correct Entity,['absent']
453,Bursera simaruba,Leaf rachis,Jacc,Caribbean,"Leaf venation: brachidodrome, pinnate.",Can infer correct Entity,['not winged']
455,Crossopetalum rhacoma,Fruit type,Jacc,Caribbean,"Fruit a drupe, seed exarillate.",Can infer correct Quality,['berry']
456,Randia aculeata,Leaf margin,Bert,Caribbean,Leaf margin: entire.,Can infer correct Value,['entire']
457,Vachellia tortuosa,Leaf upper side,Jacc,Caribbean,Glands are usually present on the rachis and the upper side of the petiole.,None of the above,['glabrous']
458,Pithecellobium unguis-cati,Leaf position,Jacc,Caribbean,Alternate hairless leaves have petioles 2 to 5 cm long and leaf blades 2.to 6 cm long.,Can infer correct Value,['alternate']
459,Libidibia coriaria,Leaf rachis,Jacc,Caribbean,"Perennial, Not climbing, Shrub/Tree.",None of the above,['not winged']
460,Guaiacum officinale,Fruit colour,Bert,Caribbean,Mature: Light Green to Medium Bright Green.,None of the above,"['yellow, orange']"
461,Avicennia germinans,Seed colour,Jacc,Caribbean,"Seed 1, large, flattened, often germinating on tree.",Can infer correct Entity,['green']
462,Schoepfia schreberi,Fruit shape,Bert,Caribbean,"Spurious fruit ellipsoid, 10-13 mm.",Can infer correct Quality,['globose']
463,Trichilia trifolia,Stamen shape,Bert,Caribbean,"Stem: bud with cataphyll, indumentum with hair simple.",None of the above,"['shorter than corolla, connected']"
464,Hippomane mancinella,Stamen number,Jacc,Caribbean,There are 2 stamens and no carpels.,Can infer correct Value,['2']
465,Guaiacum sanctum,Fruit shape,Bert,Caribbean,"Fruit covering: fleshy, 5-winged capsule.",Can infer correct Quality,"['3-5-locular, globose']"
466,Bourreria succulenta,Fruit type,Jacc,Caribbean,The fruit is a.berry that turns orange-red at maturity.,Can infer correct Value,['berry']
467,Vachellia tortuosa,Leaf margin,Jacc,Caribbean,The racemose inflorescences usually grow from the leaf axils.,None of the above,['entire']
469,Vachellia tortuosa,Leaf upper side,Jacc,Caribbean,The racemose inflorescences usually grow from the leaf axils.,None of the above,['glabrous']
471,Bourreria succulenta,Stamen number,Jacc,Caribbean,The calyx has 5 fused sepals forming a tube.,Can infer correct Entity,['5']
472,Guaiacum sanctum,Seed colour,Jacc,Caribbean,"Seeds brown or black, ellipsoid, 10 to 11 mm.",None of the above,['brown']
473,Guaiacum sanctum,Seed colour,Jacc,Caribbean,"Seeds brown or black, ellipsoid, 10 to 11 mm.",Can infer correct Value,['brown']
474,Guaiacum sanctum,Fruit shape,Bert,Caribbean,"Seeds brown or black, ellipsoid, 10 to 11 mm.",None of the above,"['3-5-locular, globose']"
475,Guaiacum sanctum,Fruit shape,Bert,Caribbean,"Seeds brown or black, ellipsoid, 10 to 11 mm.",Can infer correct Value,"['3-5-locular, globose']"
476,Handroanthus billbergii,Petals / corolla colour,Jacc,Caribbean,"Corolla tubular, yellow or magenta with yellow throat.",Can infer correct Value,['yellow']
477,Bourreria succulenta,Petals / corolla colour,Jacc,Caribbean,The corolla has 5 white fused petals that are salverform.,Can infer correct Entity,['white']
478,Bourreria succulenta,Petals / corolla colour,Jacc,Caribbean,The corolla has 5 white fused petals that are salverform.,Can infer correct Value,['white']
479,Bourreria succulenta,Stamen number,Jacc,Caribbean,The corolla has 5 white fused petals that are salverform.,Can infer correct Entity,['5']
480,Bourreria succulenta,Stamen number,Jacc,Caribbean,The corolla has 5 white fused petals that are salverform.,Can infer correct Value,['5']
481,Bursera simaruba,Leaf glands,Jacc,Caribbean,Leaf shape: ovate to oblong.,Can infer correct Entity,['absent']
483,Bursera simaruba,Leaf rachis,Jacc,Caribbean,Leaf shape: ovate to oblong.,Can infer correct Entity,['not winged']
485,Crossopetalum rhacoma,Fruit type,Jacc,Caribbean,The fruit is a red drupe at maturity.,Can infer correct Quality,['berry']
486,Randia aculeata,Leaf margin,Bert,Caribbean,Leaf arrangement: opposite/subopposite.,Can infer correct Entity,['entire']
488,Clusia rosea,Leaf upper side,Jacc,Caribbean,Leaf arrangement: opposite/subopposite.,Can infer correct Entity,['glabrous']
490,Pithecellobium unguis-cati,Leaf position,Jacc,Caribbean,The branchlets are armed with spines at the leaf bases.,None of the above,['alternate']
491,Guaiacum officinale,Fruit colour,Bert,Caribbean,"Flowers are bluish purple, showy and 2.5 cm across with five petals that gives way to bright yellow to orange fruit.",Can infer correct Value,"['yellow, orange']"
492,Avicennia germinans,Seed colour,Jacc,Caribbean,"Smooth and leathery, they are dark green above and silver-white underneath.",None of the above,['green']
